source,target,type
"Kline, John (R-MN)","Andrews, Robert E (D-NJ)",t1
"Andrews, Robert E (D-NJ)","Foxx, Virginia (R-NC)",t1
"Foxx, Virginia (R-NC)","Boehner, John (R-OH)",t1
"Boehner, John (R-OH)","Miller, George (D-CA)",t1
"Miller, George (D-CA)","Hastings, Alcee L (D-FL)",t1
"Hastings, Alcee L (D-FL)","McCarthy, Carolyn (D-NY)",t1
"McCarthy, Carolyn (D-NY)","McKeon, Buck (R-CA)",t1
"McKeon, Buck (R-CA)","Bishop, Timothy H (D-NY)",t1
"Bishop, Timothy H (D-NY)","Cantor, Eric (R-VA)",t1
"Cantor, Eric (R-VA)","Payne, Donald M (D-NJ)",t1
"Payne, Donald M (D-NJ)","Guthrie, Brett (R-KY)",t1
"Guthrie, Brett (R-KY)","Mitchell, Harry (D-AZ)",t1
"Mitchell, Harry (D-AZ)","Biggert, Judy (R-IL)",t1
"Biggert, Judy (R-IL)","Hunter, Duncan D (R-CA)",t1
"Hunter, Duncan D (R-CA)","Giffords, Gabrielle (D-AZ)",t1
"Giffords, Gabrielle (D-AZ)","Crenshaw, Ander  (R-FL)",t1
"Crenshaw, Ander  (R-FL)","Miller, Jeff (R-FL)",t1
"Miller, Jeff (R-FL)","Engel, Eliot L (D-NY)",t1
"Engel, Eliot L (D-NY)","Salmon, Matt (R-AZ)",t1
"Salmon, Matt (R-AZ)","Altmire, Jason (D-PA)",t1
"Altmire, Jason (D-PA)","Garcia, Joe (D-FL)",t1
"Garcia, Joe (D-FL)","Sinema, Kyrsten (D-AZ)",t1
"Sinema, Kyrsten (D-AZ)","Schultz, Debbie Wasserman (D-FL)",t1
"Schultz, Debbie Wasserman (D-FL)","Meehan, Patrick (R-PA)",t1
"Meehan, Patrick (R-PA)","Kline, John (R-MN)",t1
"Romney, Mitt (R)","Obama, Barack (D)",t2
"Obama, Barack (D)","Clinton, Hillary (D)",t2
"Clinton, Hillary (D)","Rubio, Marco (R)",t2
"Rubio, Marco (R)","McCain, John (R-AZ)",t2
"McCain, John (R-AZ)","Romney, Mitt (R)",t2
"Alexander, Lamar (R-TN)","Reid, Harry (D-NV)",t3
"Reid, Harry (D-NV)","Crist, Charlie (I-FL)",t3
"Crist, Charlie (I-FL)","Murray, Patty (D-WA)",t3
"Murray, Patty (D-WA)","McConnell, Mitch (R-KY)",t3
"McConnell, Mitch (R-KY)","Brown, Scott (R-NH)",t3
"Brown, Scott (R-NH)","Flake, Jeff (R-AZ)",t3
"Flake, Jeff (R-AZ)","Kirkpatrick, Ann (D-AZ)",t3
"Kirkpatrick, Ann (D-AZ)","Menendez, Robert (D-NJ)",t3
"Menendez, Robert (D-NJ)","Bennet, Michael F (D-CO)",t3
"Bennet, Michael F (D-CO)","Rehberg, Denny (R-MT)",t3
"Rehberg, Denny (R-MT)","Gardner, Cory (R-CO)",t3
"Gardner, Cory (R-CO)","Kirk, Mark (R-IL)",t3
"Kirk, Mark (R-IL)","Nelson, Bill (D-FL)",t3
"Nelson, Bill (D-FL)","Burr, Richard (R-NC)",t3
"Burr, Richard (R-NC)","Scott, Tim (R-SC)",t3
"Scott, Tim (R-SC)","Heck, Joe (R-NV)",t3
"Heck, Joe (R-NV)","Mikulski, Barbara A (D-MD)",t3
"Mikulski, Barbara A (D-MD)","Udall, Mark (D-CO)",t3
"Udall, Mark (D-CO)","Manchin, Joe (D-WV)",t3
"Manchin, Joe (D-WV)","Alexander, Lamar (R-TN)",t3
