source,target,type
"Kline, John (R-MN)","Foxx, Virginia (R-NC)",t1
"Foxx, Virginia (R-NC)","Boehner, John (R-OH)",t1
"Boehner, John (R-OH)","McKeon, Buck (R-CA)",t1
"McKeon, Buck (R-CA)","Cantor, Eric (R-VA)",t1
"Cantor, Eric (R-VA)","Guthrie, Brett (R-KY)",t1
"Guthrie, Brett (R-KY)","Biggert, Judy (R-IL)",t1
"Biggert, Judy (R-IL)","Hunter, Duncan D (R-CA)",t1
"Hunter, Duncan D (R-CA)","Crenshaw, Ander  (R-FL)",t1
"Crenshaw, Ander  (R-FL)","Miller, Jeff (R-FL)",t1
"Miller, Jeff (R-FL)","Salmon, Matt (R-AZ)",t1
"Salmon, Matt (R-AZ)","Meehan, Patrick (R-PA)",t1
"Meehan, Patrick (R-PA)","Romney, Mitt (R)",t1
"Romney, Mitt (R)","Rubio, Marco (R)",t1
"Rubio, Marco (R)","McCain, John (R-AZ)",t1
"McCain, John (R-AZ)","Alexander, Lamar (R-TN)",t1
"Alexander, Lamar (R-TN)","McConnell, Mitch (R-KY)",t1
"McConnell, Mitch (R-KY)","Brown, Scott (R-NH)",t1
"Brown, Scott (R-NH)","Flake, Jeff (R-AZ)",t1
"Flake, Jeff (R-AZ)","Rehberg, Denny (R-MT)",t1
"Rehberg, Denny (R-MT)","Gardner, Cory (R-CO)",t1
"Gardner, Cory (R-CO)","Kirk, Mark (R-IL)",t1
"Kirk, Mark (R-IL)","Burr, Richard (R-NC)",t1
"Burr, Richard (R-NC)","Scott, Tim (R-SC)",t1
"Scott, Tim (R-SC)","Heck, Joe (R-NV)",t1
"Heck, Joe (R-NV)","Kline, John (R-MN)",t1
"Andrews, Robert E (D-NJ)","Miller, George (D-CA)",t2
"Miller, George (D-CA)","Hastings, Alcee L (D-FL)",t2
"Hastings, Alcee L (D-FL)","McCarthy, Carolyn (D-NY)",t2
"McCarthy, Carolyn (D-NY)","Bishop, Timothy H (D-NY)",t2
"Bishop, Timothy H (D-NY)","Payne, Donald M (D-NJ)",t2
"Payne, Donald M (D-NJ)","Mitchell, Harry (D-AZ)",t2
"Mitchell, Harry (D-AZ)","Giffords, Gabrielle (D-AZ)",t2
"Giffords, Gabrielle (D-AZ)","Engel, Eliot L (D-NY)",t2
"Engel, Eliot L (D-NY)","Altmire, Jason (D-PA)",t2
"Altmire, Jason (D-PA)","Garcia, Joe (D-FL)",t2
"Garcia, Joe (D-FL)","Sinema, Kyrsten (D-AZ)",t2
"Sinema, Kyrsten (D-AZ)","Schultz, Debbie Wasserman (D-FL)",t2
"Schultz, Debbie Wasserman (D-FL)","Obama, Barack (D)",t2
"Obama, Barack (D)","Clinton, Hillary (D)",t2
"Clinton, Hillary (D)","Reid, Harry (D-NV)",t2
"Reid, Harry (D-NV)","Murray, Patty (D-WA)",t2
"Murray, Patty (D-WA)","Kirkpatrick, Ann (D-AZ)",t2
"Kirkpatrick, Ann (D-AZ)","Menendez, Robert (D-NJ)",t2
"Menendez, Robert (D-NJ)","Bennet, Michael F (D-CO)",t2
"Bennet, Michael F (D-CO)","Nelson, Bill (D-FL)",t2
"Nelson, Bill (D-FL)","Mikulski, Barbara A (D-MD)",t2
"Mikulski, Barbara A (D-MD)","Udall, Mark (D-CO)",t2
"Udall, Mark (D-CO)","Manchin, Joe (D-WV)",t2
"Manchin, Joe (D-WV)","Andrews, Robert E (D-NJ)",t2
