id,name,type,party,r_2008,r_2010,r_2012,r_2014,r_2016,r_total,committee
N00031502,"Yoder, Kevin (R-KS)",House,r,0,48350,54600,61057,42200,206207,
N00009920,"Shelby, Richard C (R-AL)",Senate,r,39800,54200,18500,0,90400,202900,
N00029077,"Jenkins, Lynn (R-KS)",House,r,34750,22250,41300,30800,28900,158000,
N00024922,"Hensarling, Jeb (R-TX)",House,r,10300,20600,20250,68000,15300,134450,
N00009922,"Reid, Harry (D-NV)",Senate,d,26500,89100,9000,9500,0,134100,
N00029574,"Stivers, Steve (R-OH)",House,r,4500,6000,27125,47700,41000,126325,
N00000286,"Romney, Mitt (R)",President,r,21100,0,99600,0,0,120700,
N00002884,"Hastings, Alcee L (D-FL)",House,d,4500,32000,12000,27500,41450,117450,
N00026627,"McHenry, Patrick (R-NC)",House,r,4800,8500,52999,42200,3500,111999,
N00001171,"Meeks, Gregory W (D-NY)",House,d,11000,15000,35500,34250,10000,105750,
N00025692,"Meek, Kendrick B (D-FL)",House,d,28850,72800,0,0,0,101650,
N00000078,"Maloney, Carolyn B (D-NY)",House,d,40500,43100,12500,2500,0,98600,
N00001489,"Toomey, Pat (R-PA)",Senate,r,0,5000,48750,12750,22700,89200,
N00003389,"McConnell, Mitch (R-KY)",Senate,r,22100,11405,26000,17500,3500,80505,
N00027441,"Corker, Bob (R-TN)",Senate,r,17225,12150,43300,500,7300,80475,
N00010084,"Johnson, Tim (D-SD)",Senate,d,76000,1000,3000,0,0,80000,
N00008091,"Bachus, Spencer (R-AL)",House,r,27300,17000,29500,2500,0,76300,
N00005681,"Sessions, Pete (R-TX)",House,r,13100,10400,19150,21080,6700,70430,
N00027655,"Shuler, Heath (D-NC)",House,d,11000,53000,4000,0,0,68000,
N00028152,"McCarthy, Kevin (R-CA)",House,r,6000,9500,12500,32500,6000,66500,
N00030026,"Luetkemeyer, Blaine (R-MO)",House,r,7300,3000,18200,28500,9000,66000,
N00031782,"Scott, Tim (R-SC)",House,r,0,6350,3000,33270,23300,65920,
N00033091,"Murphy, Patrick (D-FL)",House,d,0,0,1000,22000,40900,63900,
N00030815,"Fleischmann, Chuck (R-TN)",House,r,0,4800,21460,25100,9800,61160,
N00026106,"Schultz, Debbie Wasserman (D-FL)",House,d,10000,28000,12500,5000,5100,60600,
N00026314,"McMorris Rodgers, Cathy (R-WA)",House,r,3000,19200,25000,10400,0,57600,
N00000581,"Dodd, Chris (D-CT)",Senate,d,39950,12450,4000,0,0,56400,
N00006267,"Crapo, Mike (R-ID)",Senate,r,3000,10400,14000,26100,2500,56000,
N00031539,"Black, Diane (R-TN)",House,r,0,7200,10250,12500,25300,55250,
N00000275,"Frank, Barney (D-MA)",House,d,22300,18000,11000,0,0,51300,
N00009659,"Vitter, David (R-LA)",Senate,r,7000,24000,15000,0,5000,51000,
N00024871,"Scott, David (D-GA)",House,d,17300,8000,4000,3000,17000,49300,
N00009660,"Scalise, Steve (R-LA)",House,r,0,6000,0,15000,25500,46500,
N00003535,"Brown, Sherrod (D-OH)",Senate,d,5100,15150,17000,3500,3500,44250,
N00030967,"Duffy, Sean P (R-WI)",House,r,0,0,5000,12000,26900,43900,
N00001509,"Kanjorski, Paul E (D-PA)",House,d,18100,25500,0,0,0,43600,
N00031538,"Tracy, Jim (R-TN)",House,r,0,21400,0,21500,0,42900,
N00027522,"Heller, Dean (R-NV)",House,r,2000,17000,19000,2000,2500,42500,
N00033106,"Wagner, Ann L (R-MO)",House,r,0,0,23500,17500,1000,42000,
N00005233,"Moore, Dennis (D-KS)",House,d,31919,8500,0,0,0,40419,
N00027515,"Klein, Ron (D-FL)",House,d,11800,27400,0,0,0,39200,
N00027523,"Sires, Albio (D-NJ)",House,d,14100,15000,9000,1000,0,39100,
N00000743,"Garrett, Scott (R-NJ)",House,r,3500,7000,11500,17000,0,39000,
N00000699,"Menendez, Robert (D-NJ)",Senate,d,0,0,34200,3500,1000,38700,
N00006897,"Sherman, Brad (D-CA)",House,d,8000,10000,14500,3000,2000,37500,
N00009571,"Ross, Mike (D-AR)",House,d,15300,21000,0,0,0,36300,
N00003264,"Davis, Lincoln (D-TN)",House,d,7300,28400,0,0,0,35700,
N00009638,"Obama, Barack (D)",President,d,29950,0,4990,0,0,34940,
N00006424,"McCain, John (R)",President,r,34700,0,0,0,0,34700,
N00026043,"Neugebauer, Randy (R-TX)",House,r,1000,3000,6000,24500,0,34500,
