source,target,type
"Yoder, Kevin (R-KS)","Jenkins, Lynn (R-KS)",t1
"Jenkins, Lynn (R-KS)","Hensarling, Jeb (R-TX)",t1
"Hensarling, Jeb (R-TX)","Stivers, Steve (R-OH)",t1
"Stivers, Steve (R-OH)","Hastings, Alcee L (D-FL)",t1
"Hastings, Alcee L (D-FL)","Jenkins, Lynn (R-KS)",t1
"McHenry, Patrick (R-NC)","Hensarling, Jeb (R-TX)",t1
"Meeks, Gregory W (D-NY)","Stivers, Steve (R-OH)",t1
"Meek, Kendrick B (D-FL)","Hastings, Alcee L (D-FL)",t1
"Maloney, Carolyn B (D-NY)","Jenkins, Lynn (R-KS)",t1
"Bachus, Spencer (R-AL)","Hensarling, Jeb (R-TX)",t1
"Sessions, Pete (R-TX)","Stivers, Steve (R-OH)",t1
"Shuler, Heath (D-NC)","Hastings, Alcee L (D-FL)",t1
"McCarthy, Kevin (R-CA)","Jenkins, Lynn (R-KS)",t1
"Luetkemeyer, Blaine (R-MO)","Hensarling, Jeb (R-TX)",t1
"Scott, Tim (R-SC)","Stivers, Steve (R-OH)",t1
"Murphy, Patrick (D-FL)","Hastings, Alcee L (D-FL)",t1
"Fleischmann, Chuck (R-TN)","Jenkins, Lynn (R-KS)",t1
"Schultz, Debbie Wasserman (D-FL)","Hensarling, Jeb (R-TX)",t1
"McMorris Rodgers, Cathy (R-WA)","Stivers, Steve (R-OH)",t1
"Black, Diane (R-TN)","Hastings, Alcee L (D-FL)",t1
"Frank, Barney (D-MA)","Jenkins, Lynn (R-KS)",t1
"Scott, David (D-GA)","Hensarling, Jeb (R-TX)",t1
"Scalise, Steve (R-LA)","Stivers, Steve (R-OH)",t1
"Duffy, Sean P (R-WI)","Hastings, Alcee L (D-FL)",t1
"Kanjorski, Paul E (D-PA)","Jenkins, Lynn (R-KS)",t1
"Tracy, Jim (R-TN)","Hensarling, Jeb (R-TX)",t1
"Heller, Dean (R-NV)","Stivers, Steve (R-OH)",t1
"Wagner, Ann L (R-MO)","Hastings, Alcee L (D-FL)",t1
"Moore, Dennis (D-KS)","Jenkins, Lynn (R-KS)",t1
"Klein, Ron (D-FL)","Hensarling, Jeb (R-TX)",t1
"Sires, Albio (D-NJ)","Stivers, Steve (R-OH)",t1
"Garrett, Scott (R-NJ)","Hastings, Alcee L (D-FL)",t1
"Sherman, Brad (D-CA)","Hastings, Alcee L (D-FL)",t1
"Ross, Mike (D-AR)","Hastings, Alcee L (D-FL)",t1
"Davis, Lincoln (D-TN)","Stivers, Steve (R-OH)",t1
"Neugebauer, Randy (R-TX)","Stivers, Steve (R-OH)",t1
"Romney, Mitt (R)","Obama, Barack (D)",t2
"Obama, Barack (D)","McCain, John (R)",t2
"McCain, John (R)","Romney, Mitt (R)",t2
"Shelby, Richard C (R-AL)","Reid, Harry (D-NV)",t3
"Reid, Harry (D-NV)","Toomey, Pat (R-PA)",t3
"Toomey, Pat (R-PA)","McConnell, Mitch (R-KY)",t3
"McConnell, Mitch (R-KY)","Reid, Harry (D-NV)",t3
"Corker, Bob (R-TN)","Toomey, Pat (R-PA)",t3
"Johnson, Tim (D-SD)","McConnell, Mitch (R-KY)",t3
"Dodd, Chris (D-CT)","Reid, Harry (D-NV)",t3
"Crapo, Mike (R-ID)","Toomey, Pat (R-PA)",t3
"Vitter, David (R-LA)","Reid, Harry (D-NV)",t3
"Brown, Sherrod (D-OH)","Toomey, Pat (R-PA)",t3
"Menendez, Robert (D-NJ)","McConnell, Mitch (R-KY)",t3
