"id","name","party","type","r_2008","r_2010","r_2012","r_2014","r_2016","r_total"
"N00000078","Maloney, Carolyn B (D-NY)","d","House","40500","43100","12500","2500","0","98600"
"N00029077","Jenkins, Lynn (R-KS)","r","House","34750","22250","41300","30800","28900","158000"
"N00005233","Moore, Dennis (D-KS)","d","House","31919","8500","0","0","0","40419"
"N00024862","Davis, Geoff (R-KY)","r","House","29000","0","0","0","0","29000"
"N00025692","Meek, Kendrick B (D-FL)","d","House","28850","72800","0","0","0","101650"
"N00008091","Bachus, Spencer (R-AL)","r","House","27300","17000","29500","2500","0","76300"
"N00004874","Gutierrez, Luis V (D-IL)","d","House","27300","2800","0","0","0","30100"
"N00000275","Frank, Barney (D-MA)","d","House","22300","18000","11000","0","0","51300"
"N00001509","Kanjorski, Paul E (D-PA)","d","House","18100","25500","0","0","0","43600"
"N00024871","Scott, David (D-GA)","d","House","17300","8000","4000","3000","17000","49300"
"N00004887","Rush, Bobby L (D-IL)","d","House","16500","10250","1800","0","0","28550"
"N00009571","Ross, Mike (D-AR)","d","House","15300","21000","0","0","0","36300"
"N00003561","Jones, Stephanie Tubbs (D-OH)","d","House","15000","0","0","0","0","15000"
"N00027804","Mahoney, Tim (D-FL)","d","House","14100","0","0","0","0","14100"
"N00027523","Sires, Albio (D-NJ)","d","House","14100","15000","9000","1000","0","39100"
"N00024851","Feeney, Tom (R-FL)","r","House","13800","0","0","0","0","13800"
"N00005681","Sessions, Pete (R-TX)","r","House","13100","10400","19150","21080","6700","70430"
"N00029151","Barnes, Kay (D-MO)","d","House","12500","0","0","0","0","12500"
"N00001082","Towns, Edolphus (D-NY)","d","House","12000","16000","250","0","0","28250"
"N00027515","Klein, Ron (D-FL)","d","House","11800","27400","0","0","0","39200"
"N00001821","Hoyer, Steny H (D-MD)","d","House","11600","0","0","0","0","11600"
"N00001171","Meeks, Gregory W (D-NY)","d","House","11000","15000","35500","34250","10000","105750"
"N00027655","Shuler, Heath (D-NC)","d","House","11000","53000","4000","0","0","68000"
"N00024875","Bean, Melissa (D-IL)","d","House","10300","2500","0","0","0","12800"
"N00024922","Hensarling, Jeb (R-TX)","r","House","10300","20600","20250","68000","15300","134450"
"N00002674","Bishop, Sanford (D-GA)","d","House","10200","0","0","0","0","10200"
"N00026080","Barrow, John (D-GA)","d","House","10000","1000","1000","500","0","12500"
"N00026106","Schultz, Debbie Wasserman (D-FL)","d","House","10000","28000","12500","5000","5100","60600"
"N00003675","Boehner, John (R-OH)","r","House","9800","7000","10000","2600","2500","31900"
"N00003875","Hill, Baron (D-IN)","d","House","9600","10000","0","0","0","19600"
"N00009818","Berkley, Shelley (D-NV)","d","House","9200","0","0","0","0","9200"
"N00001849","Wynn, Albert R (D-MD)","d","House","8600","0","0","0","0","8600"
"N00024874","Cardoza, Dennis (D-CA)","d","House","8000","12000","0","0","0","20000"
"N00026341","Costa, Jim (D-CA)","d","House","8000","11000","1000","3000","2000","25000"
"N00006897","Sherman, Brad (D-CA)","d","House","8000","10000","14500","3000","2000","37500"
"N00025280","Ryan, Tim (D-OH)","d","House","7500","0","0","0","0","7500"
"N00009699","Tiberi, Patrick J (R-OH)","r","House","7500","3250","0","0","0","10750"
"N00003264","Davis, Lincoln (D-TN)","d","House","7300","28400","0","0","0","35700"
"N00030026","Luetkemeyer, Blaine (R-MO)","r","House","7300","3000","18200","28500","9000","66000"
"N00024760","Gingrey, Phil (R-GA)","r","House","6900","3800","8500","2600","0","21800"
"N00027493","Bachmann, Michele (R-MN)","r","House","6000","1000","0","0","0","7000"
"N00029333","Buehrer, Steve (R-OH)","r","House","6000","1000","0","0","0","7000"
"N00029680","Cazayoux, Don (D-LA)","d","House","6000","0","0","0","0","6000"
"N00028152","McCarthy, Kevin (R-CA)","r","House","6000","9500","12500","32500","6000","66500"
