"source","target","type"
"Maloney, Carolyn B (D-NY)","House","t1"
"Johnson, Tim (D-SD)","Senate","t2"
"McCain, John (R)","President","t2"
"Pierluisi, Pedro (3-PR)","Delegate","t3"
"Jenkins, Lynn (R-KS)","House","t1"
"Dodd, Chris (D-CT)","Senate","t2"
"Obama, Barack (D)","President","t2"
"Pierluisi, Pedro (3-PR)","Delegate","t3"
"Moore, Dennis (D-KS)","House","t1"
"Shelby, Richard C (R-AL)","Senate","t2"
"Richardson, Bill (D)","President","t2"
"Pierluisi, Pedro (3-PR)","Delegate","t3"
"Davis, Geoff (R-KY)","House","t1"
"Reid, Harry (D-NV)","Senate","t2"
"Romney, Mitt (R)","President","t2"
"Pierluisi, Pedro (3-PR)","Delegate","t3"
"Meek, Kendrick B (D-FL)","House","t1"
"McConnell, Mitch (R-KY)","Senate","t2"
"Thompson, Fred (R)","President","t2"
"Pierluisi, Pedro (3-PR)","Delegate","t3"
"Bachus, Spencer (R-AL)","House","t1"
"Corker, Bob (R-TN)","Senate","t2"
"Giuliani, Rudolph W (R)","President","t2"
"Pierluisi, Pedro (3-PR)","Delegate","t3"
"Gutierrez, Luis V (D-IL)","House","t1"
"Risch, James E (R-ID)","Senate","t2"
"Edwards, John (D)","President","t2"
"Pierluisi, Pedro (3-PR)","Delegate","t3"
"Frank, Barney (D-MA)","House","t1"
"Alexander, Lamar (R-TN)","Senate","t2"
"Perry, Rick (R)","President","t2"
"Pierluisi, Pedro (3-PR)","Delegate","t3"
"Kanjorski, Paul E (D-PA)","House","t1"
"Roberts, Pat (R-KS)","Senate","t2"
"Gingrich, Newt (R)","President","t2"
"Pierluisi, Pedro (3-PR)","Delegate","t3"
"Scott, David (D-GA)","House","t1"
"Pryor, Mark (D-AR)","Senate","t2"
"Santorum, Rick (R)","President","t2"
"Pierluisi, Pedro (3-PR)","Delegate","t3"
"Maloney, Carolyn B (D-NY)","Jenkins, Lynn (R-KS)","t1"
"Jenkins, Lynn (R-KS)","Moore, Dennis (D-KS)","t1"
"Moore, Dennis (D-KS)","Davis, Geoff (R-KY)","t1"
"Davis, Geoff (R-KY)","Meek, Kendrick B (D-FL)","t1"
"Meek, Kendrick B (D-FL)","Bachus, Spencer (R-AL)","t1"
"Bachus, Spencer (R-AL)","Gutierrez, Luis V (D-IL)","t1"
"Gutierrez, Luis V (D-IL)","Frank, Barney (D-MA)","t1"
"Frank, Barney (D-MA)","Kanjorski, Paul E (D-PA)","t1"
"Kanjorski, Paul E (D-PA)","Scott, David (D-GA)","t1"
"Scott, David (D-GA)","Maloney, Carolyn B (D-NY)","t1"
"Rush, Bobby L (D-IL)","Jenkins, Lynn (R-KS)","t1"
"Ross, Mike (D-AR)","Moore, Dennis (D-KS)","t1"
"Jones, Stephanie Tubbs (D-OH)","Davis, Geoff (R-KY)","t1"
"Mahoney, Tim (D-FL)","Meek, Kendrick B (D-FL)","t1"
"Sires, Albio (D-NJ)","Bachus, Spencer (R-AL)","t1"
"Feeney, Tom (R-FL)","Gutierrez, Luis V (D-IL)","t1"
"Sessions, Pete (R-TX)","Frank, Barney (D-MA)","t1"
"Barnes, Kay (D-MO)","Kanjorski, Paul E (D-PA)","t1"
"Towns, Edolphus (D-NY)","Scott, David (D-GA)","t1"
"Klein, Ron (D-FL)","Maloney, Carolyn B (D-NY)","t1"
"Hoyer, Steny H (D-MD)","Jenkins, Lynn (R-KS)","t1"
"Meeks, Gregory W (D-NY)","Moore, Dennis (D-KS)","t1"
"Shuler, Heath (D-NC)","Davis, Geoff (R-KY)","t1"
"Bean, Melissa (D-IL)","Meek, Kendrick B (D-FL)","t1"
"Hensarling, Jeb (R-TX)","Bachus, Spencer (R-AL)","t1"
"Bishop, Sanford (D-GA)","Gutierrez, Luis V (D-IL)","t1"
"Barrow, John (D-GA)","Frank, Barney (D-MA)","t1"
"Schultz, Debbie Wasserman (D-FL)","Kanjorski, Paul E (D-PA)","t1"
"Boehner, John (R-OH)","Scott, David (D-GA)","t1"
"Hill, Baron (D-IN)","Maloney, Carolyn B (D-NY)","t1"
"Berkley, Shelley (D-NV)","Jenkins, Lynn (R-KS)","t1"
"Wynn, Albert R (D-MD)","Moore, Dennis (D-KS)","t1"
"Cardoza, Dennis (D-CA)","Davis, Geoff (R-KY)","t1"
"Costa, Jim (D-CA)","Meek, Kendrick B (D-FL)","t1"
"Sherman, Brad (D-CA)","Bachus, Spencer (R-AL)","t1"
"Ryan, Tim (D-OH)","Gutierrez, Luis V (D-IL)","t1"
"Tiberi, Patrick J (R-OH)","Frank, Barney (D-MA)","t1"
"Davis, Lincoln (D-TN)","Kanjorski, Paul E (D-PA)","t1"
"Luetkemeyer, Blaine (R-MO)","Scott, David (D-GA)","t1"
"Gingrey, Phil (R-GA)","Maloney, Carolyn B (D-NY)","t1"
"Bachmann, Michele (R-MN)","Jenkins, Lynn (R-KS)","t1"
"Buehrer, Steve (R-OH)","Moore, Dennis (D-KS)","t1"
"Cazayoux, Don (D-LA)","Davis, Geoff (R-KY)","t1"
"McCarthy, Kevin (R-CA)","Meek, Kendrick B (D-FL)","t1"
"Schiff, Adam (D-CA)","Bachus, Spencer (R-AL)","t1"
"Hall, John (D-NY)","Gutierrez, Luis V (D-IL)","t1"
"Fleming, Barry (R-GA)","Frank, Barney (D-MA)","t1"
"Sestak, Joe (D-PA)","Kanjorski, Paul E (D-PA)","t1"
"Ellsworth, Brad (D-IN)","Scott, David (D-GA)","t1"
"Schwartz, Allyson (D-PA)","Maloney, Carolyn B (D-NY)","t1"
"Carney, Chris (D-PA)","Jenkins, Lynn (R-KS)","t1"
"Childers, Travis (D-MS)","Moore, Dennis (D-KS)","t1"
